Plugin,Menu,Section,Type,English,Japanese
DalamudACT,Captured,,Text/RenderTextWrapped,切换队友技能监控悬浮窗。,PTメンバースキル監視のフローティングウィンドウを切り替えます。
DalamudACT,Captured,,Checkbox/RenderText,刚玉之心,ハート・オブ・コランダム
DalamudACT,Captured,,Text/RenderTextWrapped,刷新频率说明,更新頻度の説明
DalamudACT,Captured,,Text/RenderTextWrapped,刷新频率预设,更新頻度プリセット
DalamudACT,Captured,,RenderTextWrapped,剑术师,剣術士
DalamudACT,Captured,,Checkbox/RenderText,匿名模式,匿名モード
DalamudACT,Captured,,RenderText,単色###单色,単色###单色
DalamudACT,Captured,,Checkbox/RenderText,占卜,ディヴィネーション
DalamudACT,Captured,,RenderTextWrapped/Selectable,占星术士,占星術師
DalamudACT,Captured,,Text/RenderTextWrapped,占比条内容,割合バーの内容
DalamudACT,Captured,,Checkbox/RenderText,占比条显示伤害,割合バーにダメージを表示
DalamudACT,Captured,,Checkbox/RenderText,占比条显示占比,割合バーに割合を表示
DalamudACT,Captured,,Checkbox/RenderText,占比条显示死亡,割合バーに死亡数を表示
DalamudACT,Captured,,Checkbox/RenderText,占比条显示玩家名,割合バーにプレイヤー名を表示
DalamudACT,Captured,,Checkbox/RenderText,占比条显示职业,割合バーにジョブを表示
DalamudACT,Captured,,Checkbox/RenderText,即兴表演,インプロビゼーション
DalamudACT,Captured,,Text/RenderTextWrapped,历史文件: C:\Users\USER\AppData\Roaming\XIVLauncher\pluginConfigs\DalamudACT\history-records.json,履歴ファイル: C:\Users\USER\AppData\Roaming\XIVLauncher\pluginConfigs\DalamudACT\history-records.json
DalamudACT,Captured,,RenderText,历史记录预览时长（秒）,履歴プレビュー時間（秒）
DalamudACT,Captured,,Text/RenderTextWrapped,历史预览与状态,履歴プレビューと状態
DalamudACT,Captured,,Checkbox/RenderText,原初的血气,原初の血気
DalamudACT,Captured,,Text/RenderTextWrapped,原词,元の語句
DalamudACT,Captured,,Text/RenderTextWrapped,友方 NPC 包括信赖/NPC 队友、Buddy、幻体等可识别的友方对象。,味方NPCには、フェイス／NPC同行者、バディ、分身など識別可能な味方オブジェクトが含まれます。
DalamudACT,Captured,,RenderTextWrapped,双剑师,双剣士
DalamudACT,Captured,,Text/RenderTextWrapped,只恢复指定样式的默认设置。,指定したスタイルだけ既定設定へ戻します。
DalamudACT,Captured,,Text/RenderTextWrapped,只记录战斗开始/结束、死亡、头标、连线和场地特效，跳过伤害/治疗/状态等高频流水。,戦闘開始／終了、死亡、頭上マーカー、線、フィールドエフェクトのみ記録し、ダメージ／回復／ステータスなど高頻度ログは省略します。
DalamudACT,Captured,,RenderTextWrapped/Selectable,召唤师,召喚士
DalamudACT,Captured,,Checkbox/RenderText,叶隐,葉隠
DalamudACT,Captured,,Text/RenderTextWrapped,同一个输入框可粘贴或暂存分享码。,同じ入力欄で共有コードの貼り付け・一時保存ができます。
DalamudACT,Captured,,RenderTextWrapped/Selectable,吟游诗人,吟遊詩人
DalamudACT,Captured,,Checkbox/RenderText,启用网络包增强模式,ネットワークパケット拡張モードを有効化
DalamudACT,Captured,,Checkbox/RenderText,命运之轮,運命の輪
DalamudACT,Captured,,RenderTextWrapped,咒术师,呪術士
DalamudACT,Captured,,RenderTextWrapped,回復量,回復量
DalamudACT,Captured,,RadioButtonBool,团辅##cat_buff,PT支援##cat_buff
DalamudACT,Captured,,Text/RenderTextWrapped,团辅/减伤分组合并,PT支援／軽減グループを統合
DalamudACT,Captured,,Checkbox/RenderText,图标下方显示ID,アイコン下にIDを表示
DalamudACT,Captured,,Text/RenderTextWrapped,图标列间距,アイコン列間隔
DalamudACT,Captured,,Text/RenderTextWrapped,图标大小,アイコンサイズ
DalamudACT,Captured,,Checkbox/RenderText,圣光幕帘,ディヴァインヴェール
DalamudACT,Captured,,Text/RenderTextWrapped,在游戏里直接查看队伍战斗统计。,ゲーム内でPT戦闘統計を直接確認します。
DalamudACT,Captured,,Text/RenderTextWrapped,在线时间轴,オンラインタイムライン
DalamudACT,Captured,,Checkbox/RenderText,地星,アーサリースター
DalamudACT,Captured,,Checkbox/RenderText,坚角清汁,ケーラコレ
DalamudACT,Captured,,Checkbox/RenderText,坦培拉涂层,テンペラコート
DalamudACT,Captured,,Text/RenderTextWrapped,基础显示,基本表示
DalamudACT,Captured,,Button,复制当前分享码,現在の共有コードをコピー
DalamudACT,Captured,,Checkbox/RenderText,大地神,地神のミンネ
DalamudACT,Captured,,Checkbox/RenderText,大宇宙,マクロコスモス
DalamudACT,Captured,,Checkbox/RenderText,大星云,グレートネビュラ
DalamudACT,Captured,,Checkbox/RenderText,天赐祝福,ベネディクション
DalamudACT,Captured,,Text/RenderTextWrapped,字号缩放,文字サイズ倍率
DalamudACT,Captured,,RenderTextWrapped/Selectable,学者,学者
DalamudACT,Captured,,Text/RenderTextWrapped,完整设置 / v0.15.2.72,詳細設定 / v0.15.2.72
DalamudACT,Captured,,Text/RenderTextWrapped,宏命令,マクロコマンド
DalamudACT,Captured,,Text/RenderTextWrapped,尺寸与 CD 数字,サイズとCD数字
DalamudACT,Captured,,Text/RenderTextWrapped,尺寸与字号,サイズと文字サイズ
DalamudACT,Captured,,Checkbox/RenderText,展开战术,展開戦術
DalamudACT,Captured,,Checkbox/RenderText,屠戮,ダムネーション
DalamudACT,Captured,,Text/RenderTextWrapped,布局与显示规则,レイアウトと表示ルール
DalamudACT,Captured,,Button,帮助##advanced_nav_Help,ヘルプ##advanced_nav_Help
DalamudACT,Captured,,Checkbox/RenderText,干预,インターベンション
DalamudACT,Captured,,RenderTextWrapped,幻术师,幻術士
DalamudACT,Captured,,Checkbox/RenderText,庇护所,アサイラム
DalamudACT,Captured,,Text/RenderTextWrapped,开启后按当前区域自动套用预设：主城/住宅=低负载，副本/野外=标准。关闭后使用下方手动间隔。,有効にすると現在エリアに応じて自動でプリセットを適用します。都市／ハウジング＝低負荷、コンテンツ／フィールド＝標準。無効時は下の手動間隔を使用します。
DalamudACT,Captured,,Text/RenderTextWrapped,开始时间,開始時刻
DalamudACT,Captured,,Checkbox/RenderText,弃明投暗,ダークマインド
DalamudACT,Captured,,RenderTextWrapped,弓箭手,弓術士
DalamudACT,Captured,,Text/RenderTextWrapped,强制加载说明,強制読み込みの説明
DalamudACT,Captured,,Text/RenderTextWrapped,当前区域：野外,現在のエリア：フィールド
DalamudACT,Captured,,Text/RenderTextWrapped,当前没有可显示的队伍成员。,現在表示できるPTメンバーはいません。
DalamudACT,Captured,,Text/RenderTextWrapped,当前状态：调试日志已关闭，强化日志已关闭,現在の状態：デバッグログOFF、拡張ログOFF
DalamudACT,Captured,,Text/RenderTextWrapped,当前队伍成员默认展开；收起后这里只显示人数。,現在のPTメンバーは既定で展開表示されます。折りたたむと人数のみ表示します。
DalamudACT,Captured,,RenderTextWrapped/Selectable,忍者,忍者
DalamudACT,Captured,,Text/RenderTextWrapped,总DPS条内容,総DPSバーの内容
DalamudACT,Captured,,Button,恢复 Classic 默认,Classicを既定値に戻す
DalamudACT,Captured,,Button,恢复 Ikegami 默认,Ikegamiを既定値に戻す
DalamudACT,Captured,,Button,恢复 Minimal 默认,Minimalを既定値に戻す
DalamudACT,Captured,,Checkbox/RenderText,意气冲天,意気衝天
DalamudACT,Captured,,RenderTextWrapped/Selectable,战士,戦士
DalamudACT,Captured,,Checkbox/RenderText,战斗之声,バトルボイス
DalamudACT,Captured,,Checkbox/RenderText,战斗连祷,バトルリタニー
DalamudACT,Captured,,Checkbox/RenderText,战栗,スリル・オブ・バトル
DalamudACT,Captured,,RenderTextWrapped,戦闘終了判定,戦闘終了判定
DalamudACT,Captured,,Button,打印当前BUFF,現在のBUFFを出力
DalamudACT,Captured,,Checkbox/RenderText,技巧舞步结束,テクニカルフィニッシュ
DalamudACT,Captured,,Text/RenderTextWrapped,技能 ID 需要与实际游戏数据核对,スキルIDは実際のゲームデータと照合してください
DalamudACT,Captured,,Text/RenderTextWrapped,技能ID,スキルID
DalamudACT,Captured,,Checkbox/RenderText,抗死,バマジク
DalamudACT,Captured,,Button,按分享码标识导入,共有コード識別子でインポート
DalamudACT,Captured,,Checkbox/RenderText,按区域自动刷新频率,エリア別に更新頻度を自動設定
DalamudACT,Captured,,Text/RenderTextWrapped,按样式恢复默认,スタイル別に既定値へ戻す
DalamudACT,Captured,,Checkbox/RenderText,摆脱,シェイクオフ
DalamudACT,Captured,,Text/RenderTextWrapped,敌方 NPC 只有在最大生命值达到本地玩家最大生命值指定倍率后，才会进入悬浮统计。,敵NPCは最大HPがローカルプレイヤー最大HPの指定倍率以上の場合のみ、フローティング統計へ含めます。
DalamudACT,Captured,,Button,数据##advanced_nav_Data,データ##advanced_nav_Data
DalamudACT,Captured,,Checkbox/RenderText,整体论,ホーリズム
DalamudACT,Captured,,RenderTextWrapped,斧术师,斧術士
DalamudACT,Captured,,Button,新增纠偏,補正を追加
DalamudACT,Captured,,Text/RenderTextWrapped,日志写入规则,ログ出力ルール
DalamudACT,Captured,,Text/RenderTextWrapped,时长,時間
DalamudACT,Captured,,Button,时间轴##advanced_nav_Timeline,タイムライン##advanced_nav_Timeline
DalamudACT,Captured,,Text/RenderTextWrapped,时间轴刷新间隔,タイムライン更新間隔
DalamudACT,Captured,,Text/RenderTextWrapped,时间轴文件: 未加载,タイムラインファイル：未読み込み
DalamudACT,Captured,,RenderText,时间轴显示未来秒数,タイムライン先読み秒数
DalamudACT,Captured,,RenderText,时间轴最大显示条数,タイムライン最大表示件数
DalamudACT,Captured,,Checkbox/RenderText,昏乱,アドル
DalamudACT,Captured,,Checkbox/RenderText,星位合图,エクザルテーション
DalamudACT,Captured,,Checkbox/RenderText,星空构想,星天開門
DalamudACT,Captured,,Checkbox/RenderText,显示伤害量列,ダメージ量列を表示
DalamudACT,Captured,,Text/RenderTextWrapped,显示宏帮助。,マクロヘルプを表示します。
DalamudACT,Captured,,Checkbox/RenderText,显示总DPS,総DPSを表示
DalamudACT,Captured,,Checkbox/RenderText,显示总DPS行,総DPS行を表示
DalamudACT,Captured,,Checkbox/RenderText,显示总伤害,総ダメージを表示
DalamudACT,Captured,,Checkbox/RenderText,显示总死亡数,総死亡数を表示
DalamudACT,Captured,,Checkbox/RenderText,显示时间,時間を表示
DalamudACT,Captured,,Checkbox/RenderText,显示标题,タイトルを表示
DalamudACT,Captured,,Text/RenderTextWrapped,显示范围、间距与语音,表示範囲・間隔・音声
DalamudACT,Captured,,Checkbox/RenderText,显示表头,ヘッダーを表示
DalamudACT,Captured,,Checkbox/RenderText,智慧之爱,フィロソフィア
DalamudACT,Captured,,Checkbox/RenderText,暗影卫,シャドウヴィジル
DalamudACT,Captured,,Checkbox/RenderText,暗黑布道,ダークミッショナリー
DalamudACT,Captured,,RenderTextWrapped/Selectable,暗黑骑士,暗黒騎士
DalamudACT,Captured,,RenderTextWrapped,有効,有効
DalamudACT,Captured,,RenderText,有効###启用,有効###启用
DalamudACT,Captured,,Text/RenderTextWrapped,本地事件采集 / ACTX 统计口径,ローカルイベント収集 / ACTX統計方式
DalamudACT,Captured,,RenderTextWrapped/Selectable,机工士,機工士
DalamudACT,Captured,,Text/RenderTextWrapped,极简样式参数,Minimalスタイル設定
DalamudACT,Captured,,Text/RenderTextWrapped,极简样式固定隐藏页签与秒伤列。,MinimalスタイルではタブとDPS列を固定で非表示にします。
DalamudACT,Captured,,Checkbox/RenderText,极致防御,ガーディアン
DalamudACT,Captured,,RenderTextWrapped,枪术师,槍術士
DalamudACT,Captured,,Button,标准##refresh_preset_balanced,標準##refresh_preset_balanced
DalamudACT,Captured,,Text/RenderTextWrapped,标签页显示,タブ表示
DalamudACT,Captured,,Text/RenderTextWrapped,样式分享码,スタイル共有コード
DalamudACT,Captured,,Text/RenderTextWrapped,样式说明,スタイル説明
DalamudACT,Captured,,RenderTextWrapped,格斗家,格闘士
DalamudACT,Captured,,Text/RenderTextWrapped,桜 Sakura,桜 Sakura
DalamudACT,Captured,,RenderTextWrapped/Selectable,武僧,モンク
DalamudACT,Captured,,Selectable,武士,侍
DalamudACT,Captured,,Checkbox/RenderText,武装戍卫,パッセージ・オブ・アームズ
DalamudACT,Captured,,Checkbox/RenderText,武装解除,ウェポンブレイク
DalamudACT,Captured,,Text/RenderTextWrapped,死亡列宽,死亡列の幅
DalamudACT,Captured,,Checkbox/RenderText,死斗,ホルムギャング
DalamudACT,Captured,,Checkbox/RenderText,残影,残影
DalamudACT,Captured,,Checkbox/RenderText,水流幕,アクアヴェール
DalamudACT,Captured,,Checkbox/RenderText,泛输血,パンハイマ
DalamudACT,Captured,,Text/RenderTextWrapped,注：目前时间轴仅涵盖 7.x 版本内容。6.x 及更早版本暂不支持。,注：現在のタイムラインは7.xコンテンツのみ対応しています。6.x以前は現在未対応です。
DalamudACT,Captured,,Checkbox/RenderText,活化,ゾーエ
DalamudACT,Captured,,Button,测试TTS,TTSをテスト
DalamudACT,Captured,,Checkbox/RenderText,消化,ペプシス
DalamudACT,Captured,,Checkbox/RenderText,深谋远虑之策,深謀遠慮の策
DalamudACT,Captured,,Text/RenderTextWrapped,添加自定义技能（当目录中缺少某个技能时使用）,カスタムスキルを追加（一覧にないスキル用）
DalamudACT,Captured,,Button,清空分享码,共有コードをクリア
DalamudACT,Captured,,Checkbox/RenderText,灼热之光,シアリングライト
DalamudACT,Captured,,Checkbox/RenderText,炽天召唤,セラフィム召喚
DalamudACT,Captured,,Checkbox/RenderText,炽天的幻光,セラフィックイルミネーション
DalamudACT,Captured,,Checkbox/RenderText,炽天附体,セラフィズム
DalamudACT,Captured,,Checkbox/RenderText,牵制,牽制
DalamudACT,Captured,,Button,状态监控##advanced_nav_StatusObserver,ステータス監視##advanced_nav_StatusObserver
DalamudACT,Captured,,Text/RenderTextWrapped,状态监控刷新间隔,ステータス監視更新間隔
DalamudACT,Captured,,Checkbox/RenderText,献奉,オブレーション
DalamudACT,Captured,,Text/RenderTextWrapped,玩家列宽,プレイヤー列の幅
DalamudACT,Captured,,Checkbox/RenderText,生命回生法,生命回生法
DalamudACT,Captured,,Text/RenderTextWrapped,生成后会自动复制到剪贴板。,生成後、自動的にクリップボードへコピーします。
DalamudACT,Captured,,Button,生成并复制 Classic 分享码,Classic共有コードを生成してコピー
DalamudACT,Captured,,Button,生成并复制 Ikegami 分享码,Ikegami共有コードを生成してコピー
DalamudACT,Captured,,Button,生成并复制 Minimal 分享码,Minimal共有コードを生成してコピー
DalamudACT,Captured,,Checkbox/RenderText,疾风怒涛之计,疾風怒濤の計
DalamudACT,Captured,,Checkbox/RenderText,白牛清汁,タウロコレ
DalamudACT,Captured,,RenderTextWrapped/Selectable,白魔法师,白魔道士
DalamudACT,Captured,,Checkbox/RenderText,监控减伤,軽減を監視
DalamudACT,Captured,,Checkbox/RenderText,监控团辅,PT支援を監視
DalamudACT,Captured,,Text/RenderTextWrapped,监控模块,監視モジュール
DalamudACT,Captured,,Checkbox/RenderText,监控食物,食事を監視
DalamudACT,Captured,,Text/RenderTextWrapped,目标职业,対象ジョブ
DalamudACT,Captured,,Checkbox/RenderText,盾阵,シェルトロン
DalamudACT,Captured,,Checkbox/RenderText,礼仪之铃,リタージー・オブ・ベル
DalamudACT,Captured,,Checkbox/RenderText,神圣领域,インビンシブル
DalamudACT,Captured,,Checkbox/RenderText,神祝祷,ディヴァインベニゾン
DalamudACT,Captured,,Checkbox/RenderText,神秘环,アルケインサークル
DalamudACT,Captured,,Checkbox/RenderText,神秘纹,アルケインクレスト
DalamudACT,Captured,,RenderTextWrapped,秘术师,巴術士
DalamudACT,Captured,,Checkbox/RenderText,秘策,秘策
DalamudACT,Captured,,Button,窗口##advanced_nav_Window,ウィンドウ##advanced_nav_Window
DalamudACT,Captured,,Checkbox/RenderText,策动,タクティシャン
DalamudACT,Captured,,Text/RenderTextWrapped,纠偏词,補正語句
DalamudACT,Captured,,Text/RenderTextWrapped,结束时间,終了時刻
DalamudACT,Captured,,Selectable,绘灵法师,ピクトマンサー
DalamudACT,Captured,,RenderTextWrapped/Selectable,绝枪战士,ガンブレイカー
DalamudACT,Captured,,Button,统计##advanced_nav_Stats,統計##advanced_nav_Stats
DalamudACT,Captured,,Text/RenderTextWrapped,网络包增强模式,ネットワークパケット拡張モード
DalamudACT,Captured,,Button,职能单色,ロール単色
DalamudACT,Captured,,Text,背景默认颜色,背景の既定色
DalamudACT,Captured,,Checkbox/RenderText,自生,ピュシスII
DalamudACT,Captured,,Checkbox/RenderText,至黑之夜,ブラックナイト
DalamudACT,Captured,,RenderTextWrapped/Selectable,舞者,踊り子
DalamudACT,Captured,,Checkbox/RenderText,节制,テンパランス
DalamudACT,Captured,,Checkbox/RenderText,蛇灵气,蛇の霊気
DalamudACT,Captured,,Selectable,蝰蛇剑士,ヴァイパー
DalamudACT,Captured,,Checkbox/RenderText,行吟,トルバドゥール
DalamudACT,Captured,,Checkbox/RenderText,行尸走肉,リビングデッド
DalamudACT,Captured,,RenderTextWrapped,行間隔,行間隔
DalamudACT,Captured,,RenderTextWrapped,表示,表示
DalamudACT,Captured,,RenderTextWrapped,表示人数,表示人数
DalamudACT,Captured,,RenderTextWrapped,表示数制限,表示数制限
DalamudACT,Captured,,Text/RenderTextWrapped,规则 1,ルール 1
DalamudACT,Captured,,Text/RenderTextWrapped,规则 10,ルール 10
DalamudACT,Captured,,Text/RenderTextWrapped,规则 11,ルール 11
DalamudACT,Captured,,Text/RenderTextWrapped,规则 12,ルール 12
DalamudACT,Captured,,Text/RenderTextWrapped,规则 13,ルール 13
DalamudACT,Captured,,Text/RenderTextWrapped,规则 2,ルール 2
DalamudACT,Captured,,Text/RenderTextWrapped,规则 3,ルール 3
DalamudACT,Captured,,Text/RenderTextWrapped,规则 4,ルール 4
DalamudACT,Captured,,Text/RenderTextWrapped,规则 5,ルール 5
DalamudACT,Captured,,Text/RenderTextWrapped,规则 6,ルール 6
DalamudACT,Captured,,Text/RenderTextWrapped,规则 7,ルール 7
DalamudACT,Captured,,Text/RenderTextWrapped,规则 8,ルール 8
DalamudACT,Captured,,Text/RenderTextWrapped,规则 9,ルール 9
DalamudACT,Captured,,Text/RenderTextWrapped,调试日志分组,デバッグログ分類
DalamudACT,Captured,,RenderTextWrapped/Selectable,贤者,賢者
DalamudACT,Captured,,Selectable,赤魔法师,赤魔道士
DalamudACT,Captured,,Text/RenderTextWrapped,起效增强强度,発動時強調の強度
DalamudACT,Captured,,Text/RenderTextWrapped,起效增强样式,発動時強調スタイル
DalamudACT,Captured,,Checkbox/RenderText,超火流星,ボーライド
DalamudACT,Captured,,Checkbox/RenderText,输血,ハイマ
DalamudACT,Captured,,Checkbox/RenderText,进攻之探戈,攻めのタンゴ
DalamudACT,Captured,,Checkbox/RenderText,连环计,連環計
DalamudACT,Captured,,Checkbox/RenderText,配置/设置,設定／構成
DalamudACT,Captured,,Checkbox/RenderText,野战治疗阵,野戦治療の陣
DalamudACT,Captured,,Selectable,钐镰客,リーパー
DalamudACT,Captured,,Checkbox/RenderText,铁壁,ランパート
DalamudACT,Captured,,Text/RenderTextWrapped,队友使用死斗、神圣领域、死而不僵、超火流星时播报技能名；PvP 区域不播报。需要先开启 DailyRoutines TTS。,PTメンバーがホルムギャング、インビンシブル、リビングデッド、ボーライドを使用した際にスキル名を読み上げます。PvPエリアでは読み上げません。事前にDailyRoutines TTSを有効にしてください。
DalamudACT,Captured,,Button,队友监控##advanced_nav_PartyMonitor,PTメンバー監視##advanced_nav_PartyMonitor
DalamudACT,Captured,,Text/RenderTextWrapped,队友监控刷新间隔,PTメンバー監視更新間隔
DalamudACT,Captured,,Checkbox/RenderText,防守之桑巴,守りのサンバ
DalamudACT,Captured,,Checkbox/RenderText,隐藏永久状态,永続ステータスを非表示
DalamudACT,Captured,,Checkbox/RenderText,雪仇,リプライザル
DalamudACT,Captured,,Text/RenderTextWrapped,预览规则说明,プレビュールールの説明
DalamudACT,Captured,,Text/RenderTextWrapped,食物到期提醒阈值,食事効果終了の通知しきい値
DalamudACT,Captured,,RenderTextWrapped/Selectable,骑士,ナイト
DalamudACT,Captured,,Checkbox/RenderText,高亮 NPC 行,NPC行を強調
DalamudACT,Captured,,Text/RenderTextWrapped,高度自动适配条目数,表示件数に合わせて高さを自動調整
DalamudACT,Captured,,Checkbox/RenderText,魂灵风息,プネウマ
DalamudACT,Captured,,RenderTextWrapped/Selectable,黑魔法师,黒魔道士
DalamudACT,Captured,,Text/RenderTextWrapped,默认先收起职业颜色列表；需要微调单职业 RGB 时再展开。,ジョブ色一覧は既定で折りたたみます。ジョブごとのRGBを調整するときだけ展開してください。
DalamudACT,Captured,,Text/RenderTextWrapped,默认先收起规则说明；需要核对 NPC 纳入规则时再展开。,ルール説明は既定で折りたたみます。NPCの対象条件を確認するときだけ展開してください。
DalamudACT,Captured,,Text/RenderTextWrapped,默认先收起路径与状态详情；需要排查时再展开查看。,パスと状態の詳細は既定で折りたたみます。問題調査時に展開してください。
DalamudACT,Captured,,RenderText,默认收包 opcode 过滤,既定の受信パケットopcodeフィルター
DalamudACT,Captured,,RenderText,默认收包预览字节,既定の受信パケットプレビューBytes
DalamudACT,Captured,,Text/RenderTextWrapped,默认立即结束,既定：即時終了
DalamudACT,Captured,,Checkbox/RenderText,鼓励,エンボルデン
DalamudACT,Captured,,RenderTextWrapped/Selectable,龙骑士,竜騎士
DalamudACT,Captured,PartyMonitor,Text/RenderTextWrapped,职业技能列表,ジョブスキル一覧
DalamudACT,CapturedExact,,,      帮助##advanced_nav_Help,      ヘルプ##advanced_nav_Help
DalamudACT,CapturedExact,,,      数据##advanced_nav_Data,      データ##advanced_nav_Data
DalamudACT,CapturedExact,,,      时间轴##advanced_nav_Timeline,      タイムライン##advanced_nav_Timeline
DalamudACT,CapturedExact,,,      状态监控##advanced_nav_StatusObserver,      ステータス監視##advanced_nav_StatusObserver
DalamudACT,CapturedExact,,,      窗口##advanced_nav_Window,      ウィンドウ##advanced_nav_Window
DalamudACT,CapturedExact,,,      统计##advanced_nav_Stats,      統計##advanced_nav_Stats
DalamudACT,CapturedExact,,,      队友监控##advanced_nav_PartyMonitor,      PTメンバー監視##advanced_nav_PartyMonitor
DalamudACT,CapturedExact,,," by Shiyuvi, Anmi"," by Shiyuvi, Anmi"
DalamudACT,CapturedExact,,,DPS統計更新間隔,DPS統計更新間隔
DalamudACT,CapturedExact,,,关闭后降低高特效战斗压力，但 DoT、野火等持续/延迟伤害会更不准。高性能模式会临时停用。 ,無効にすると高エフェクト戦闘時の負荷は下がりますが、DoTやワイルドファイアなどの継続／遅延ダメージ精度が低下します。高性能モードでは一時的に無効化されます。 
DalamudACT,CapturedExact,,,只记录战斗开始/结束、死亡、头标、连线和场地特效，跳过伤害/治疗/状态等高频流水。 ,戦闘開始／終了、死亡、頭上マーカー、線、フィールドエフェクトのみ記録し、ダメージ／回復／ステータスなど高頻度ログは省略します。 
